code_uic,libelle,fret,code_ligne,geometry,code_postal,Segmentation DRG,Total Voyageurs,Total Voyageurs + Non Voyageurs,Année
87394015,Lucé,True,500000,POINT (1.453018308838862 48.43670752100249),28110,C,25277.0,25277.0,2017
87394015,Lucé,True,500000,POINT (1.453018308838862 48.43670752100249),28110,C,23380.0,23380.0,2018
87394015,Lucé,True,500000,POINT (1.453018308838862 48.43670752100249),28110,C,20486.0,20486.0,2019
87394015,Lucé,True,500000,POINT (1.453018308838862 48.43670752100249),28110,C,12514.0,12514.0,2020
87394015,Lucé,True,500000,POINT (1.453018308838862 48.43670752100249),28110,C,14457.0,14457.0,2021
87394015,Lucé,True,500000,POINT (1.453018308838862 48.43670752100249),28110,C,16305.0,16305.0,2022
87394015,Lucé,True,500000,POINT (1.453018308838862 48.43670752100249),28110,C,11847.0,11847.0,2023
87381178,Us,False,330000,POINT (1.970571442485531 49.09957530900886),95450,C,121370.0,121370.0,2015
87381178,Us,False,330000,POINT (1.970571442485531 49.09957530900886),95450,C,129962.0,129962.0,2016
87381178,Us,False,330000,POINT (1.970571442485531 49.09957530900886),95450,C,129068.0,129068.0,2017
87381178,Us,False,330000,POINT (1.970571442485531 49.09957530900886),95450,C,124416.0,124416.0,2018
87381178,Us,False,330000,POINT (1.970571442485531 49.09957530900886),95450,C,122476.0,122476.0,2019
87381178,Us,False,330000,POINT (1.970571442485531 49.09957530900886),95450,C,53822.0,53822.0,2020
87381178,Us,False,330000,POINT (1.970571442485531 49.09957530900886),95450,C,85308.0,85308.0,2021
87381178,Us,False,330000,POINT (1.970571442485531 49.09957530900886),95450,C,99723.0,99723.0,2022
87381178,Us,False,330000,POINT (1.970571442485531 49.09957530900886),95450,C,97167.0,97167.0,2023
87212464,Lauterbourg,True,145000,POINT (8.182587532363403 48.967169965804175),67630,C,23136.0,23136.0,2015
87212464,Lauterbourg,True,145000,POINT (8.182587532363403 48.967169965804175),67630,C,22610.0,22610.0,2016
